"Team 1","Team 2","Team 3",Overall
"Arizona Cardinals","Baltimore Ravens","New York Jets",92.45
"Arizona Cardinals","Baltimore Ravens","Philadelphia Eagles",92.58
"Arizona Cardinals","Baltimore Ravens","Pittsburgh Steelers",92.31
"Arizona Cardinals","Baltimore Ravens","San Francisco 49ers",92.92
"Arizona Cardinals","Baltimore Ravens","Seattle Seahawks",92.38
"Arizona Cardinals","Baltimore Ravens","Tampa Bay Buccaneers",92.23
"Arizona Cardinals","Baltimore Ravens","Tennessee Titans",92.79
"Arizona Cardinals","Baltimore Ravens","Washington Commanders",92.64
"Arizona Cardinals","Buffalo Bills","Carolina Panthers",91.80
"Arizona Cardinals","Buffalo Bills","Chicago Bears",92.42
"Arizona Cardinals","Buffalo Bills","Cincinnati Bengals",91.84
"Arizona Cardinals","Buffalo Bills","Cleveland Browns",91.93
"Arizona Cardinals","Buffalo Bills","Dallas Cowboys",92.14
"Arizona Cardinals","Buffalo Bills","Denver Broncos",91.87
"Arizona Cardinals","Buffalo Bills","Detroit Lions",92.15
"Arizona Cardinals","Buffalo Bills","Green Bay Packers",91.65
"Arizona Cardinals","Buffalo Bills","Houston Texans",91.91
"Arizona Cardinals","Buffalo Bills","Indianapolis Colts",92.17
"Arizona Cardinals","Buffalo Bills","Jacksonville Jaguars",91.73
"Arizona Cardinals","Buffalo Bills","Kansas City Chiefs",92.03
"Arizona Cardinals","Buffalo Bills","Las Vegas Raiders",92.39
"Arizona Cardinals","Buffalo Bills","Los Angeles Chargers",91.92
"Arizona Cardinals","Buffalo Bills","Los Angeles Rams",91.88
"Arizona Cardinals","Buffalo Bills","Miami Dolphins",92.36
"Arizona Cardinals","Buffalo Bills","Minnesota Vikings",91.92
"Arizona Cardinals","Buffalo Bills","New England Patriots",91.94
"Arizona Cardinals","Buffalo Bills","New Orleans Saints",91.94
"Arizona Cardinals","Buffalo Bills","New York Giants",92.00
"Arizona Cardinals","Buffalo Bills","New York Jets",91.96
"Arizona Cardinals","Buffalo Bills","Philadelphia Eagles",91.94
"Arizona Cardinals","Buffalo Bills","Pittsburgh Steelers",92.05
"Arizona Cardinals","Buffalo Bills","San Francisco 49ers",92.80
"Arizona Cardinals","Buffalo Bills","Seattle Seahawks",92.08
"Arizona Cardinals","Buffalo Bills","Tampa Bay Buccaneers",92.17
"Arizona Cardinals","Buffalo Bills","Tennessee Titans",92.30
"Arizona Cardinals","Buffalo Bills","Washington Commanders",92.29
"Arizona Cardinals","Carolina Panthers","Chicago Bears",92.41
"Arizona Cardinals","Carolina Panthers","Cincinnati Bengals",91.73
"Arizona Cardinals","Carolina Panthers","Cleveland Browns",91.43
"Arizona Cardinals","Carolina Panthers","Dallas Cowboys",92.14
"Arizona Cardinals","Carolina Panthers","Denver Broncos",91.69
"Arizona Cardinals","Carolina Panthers","Detroit Lions",91.57
"Arizona Cardinals","Carolina Panthers","Green Bay Packers",91.60
"Arizona Cardinals","Carolina Panthers","Houston Texans",91.78
"Arizona Cardinals","Carolina Panthers","Indianapolis Colts",92.11
"Arizona Cardinals","Carolina Panthers","Jacksonville Jaguars",91.06
"Arizona Cardinals","Carolina Panthers","Kansas City Chiefs",91.72
"Arizona Cardinals","Carolina Panthers","Las Vegas Raiders",92.21
"Arizona Cardinals","Carolina Panthers","Los Angeles Chargers",91.58
"Arizona Cardinals","Carolina Panthers","Los Angeles Rams",91.80
"Arizona Cardinals","Carolina Panthers","Miami Dolphins",92.21
"Arizona Cardinals","Carolina Panthers","Minnesota Vikings",91.80
"Arizona Cardinals","Carolina Panthers","New England Patriots",91.79
"Arizona Cardinals","Carolina Panthers","New Orleans Saints",91.83
"Arizona Cardinals","Carolina Panthers","New York Giants",91.80
"Arizona Cardinals","Carolina Panthers","New York Jets",91.73
"Arizona Cardinals","Carolina Panthers","Philadelphia Eagles",91.86
"Arizona Cardinals","Carolina Panthers","Pittsburgh Steelers",92.19
"Arizona Cardinals","Carolina Panthers","San Francisco 49ers",92.77
"Arizona Cardinals","Carolina Panthers","Seattle Seahawks",91.90
"Arizona Cardinals","Carolina Panthers","Tampa Bay Buccaneers",91.88
"Arizona Cardinals","Carolina Panthers","Tennessee Titans",91.78
"Arizona Cardinals","Carolina Panthers","Washington Commanders",92.41
"Arizona Cardinals","Chicago Bears","Cincinnati Bengals",92.66
"Arizona Cardinals","Chicago Bears","Cleveland Browns",92.56
"Arizona Cardinals","Chicago Bears","Dallas Cowboys",92.40
"Arizona Cardinals","Chicago Bears","Denver Broncos",92.37
"Arizona Cardinals","Chicago Bears","Detroit Lions",92.53
"Arizona Cardinals","Chicago Bears","Green Bay Packers",92.30
"Arizona Cardinals","Chicago Bears","Houston Texans",92.60
"Arizona Cardinals","Chicago Bears","Indianapolis Colts",92.82
"Arizona Cardinals","Chicago Bears","Jacksonville Jaguars",92.21
"Arizona Cardinals","Chicago Bears","Kansas City Chiefs",92.46
"Arizona Cardinals","Chicago Bears","Las Vegas Raiders",92.79
"Arizona Cardinals","Chicago Bears","Los Angeles Chargers",92.38
"Arizona Cardinals","Chicago Bears","Los Angeles Rams",92.48
"Arizona Cardinals","Chicago Bears","Miami Dolphins",92.67
"Arizona Cardinals","Chicago Bears","Minnesota Vikings",92.48
"Arizona Cardinals","Chicago Bears","New England Patriots",92.66
"Arizona Cardinals","Chicago Bears","New Orleans Saints",92.58
"Arizona Cardinals","Chicago Bears","New York Giants",92.61
"Arizona Cardinals","Chicago Bears","New York Jets",92.55
"Arizona Cardinals","Chicago Bears","Philadelphia Eagles",92.69
"Arizona Cardinals","Chicago Bears","Pittsburgh Steelers",92.37
"Arizona Cardinals","Chicago Bears","San Francisco 49ers",93.20
"Arizona Cardinals","Chicago Bears","Seattle Seahawks",92.67
"Arizona Cardinals","Chicago Bears","Tampa Bay Buccaneers",92.58
"Arizona Cardinals","Chicago Bears","Tennessee Titans",92.75
"Arizona Cardinals","Chicago Bears","Washington Commanders",92.72
"Arizona Cardinals","Cincinnati Bengals","Cleveland Browns",91.40
"Arizona Cardinals","Cincinnati Bengals","Dallas Cowboys",92.43
"Arizona Cardinals","Cincinnati Bengals","Denver Broncos",91.49
"Arizona Cardinals","Cincinnati Bengals","Detroit Lions",91.76
"Arizona Cardinals","Cincinnati Bengals","Green Bay Packers",91.64
"Arizona Cardinals","Cincinnati Bengals","Houston Texans",91.45
"Arizona Cardinals","Cincinnati Bengals","Indianapolis Colts",92.07
"Arizona Cardinals","Cincinnati Bengals","Jacksonville Jaguars",91.31
"Arizona Cardinals","Cincinnati Bengals","Kansas City Chiefs",91.75
"Arizona Cardinals","Cincinnati Bengals","Las Vegas Raiders",91.87
"Arizona Cardinals","Cincinnati Bengals","Los Angeles Chargers",91.46
"Arizona Cardinals","Cincinnati Bengals","Los Angeles Rams",91.65
"Arizona Cardinals","Cincinnati Bengals","Miami Dolphins",92.24
"Arizona Cardinals","Cincinnati Bengals","Minnesota Vikings",91.66
"Arizona Cardinals","Cincinnati Bengals","New England Patriots",91.77
"Arizona Cardinals","Cincinnati Bengals","New Orleans Saints",91.65
"Arizona Cardinals","Cincinnati Bengals","New York Giants",91.62
"Arizona Cardinals","Cincinnati Bengals","New York Jets",91.12
"Arizona Cardinals","Cincinnati Bengals","Philadelphia Eagles",91.89
"Arizona Cardinals","Cincinnati Bengals","Pittsburgh Steelers",91.80
"Arizona Cardinals","Cincinnati Bengals","San Francisco 49ers",92.65
"Arizona Cardinals","Cincinnati Bengals","Seattle Seahawks",91.73
"Arizona Cardinals","Cincinnati Bengals","Tampa Bay Buccaneers",91.70
"Arizona Cardinals","Cincinnati Bengals","Tennessee Titans",92.16
"Arizona Cardinals","Cincinnati Bengals","Washington Commanders",92.08
"Arizona Cardinals","Cleveland Browns","Dallas Cowboys",92.23
"Arizona Cardinals","Cleveland Browns","Denver Broncos",91.66
"Arizona Cardinals","Cleveland Browns","Detroit Lions",91.84
"Arizona Cardinals","Cleveland Browns","Green Bay Packers",91.66
"Arizona Cardinals","Cleveland Browns","Houston Texans",91.75
"Arizona Cardinals","Cleveland Browns","Indianapolis Colts",92.41
"Arizona Cardinals","Cleveland Browns","Jacksonville Jaguars",91.07
"Arizona Cardinals","Cleveland Browns","Kansas City Chiefs",91.72
"Arizona Cardinals","Cleveland Browns","Las Vegas Raiders",92.13
"Arizona Cardinals","Cleveland Browns","Los Angeles Chargers",91.47
"Arizona Cardinals","Cleveland Browns","Los Angeles Rams",91.74
"Arizona Cardinals","Cleveland Browns","Miami Dolphins",92.48
"Arizona Cardinals","Cleveland Browns","Minnesota Vikings",91.69
"Arizona Cardinals","Cleveland Browns","New England Patriots",92.16
"Arizona Cardinals","Cleveland Browns","New Orleans Saints",91.85
"Arizona Cardinals","Cleveland Browns","New York Giants",91.71
"Arizona Cardinals","Cleveland Browns","New York Jets",91.60
"Arizona Cardinals","Cleveland Browns","Philadelphia Eagles",92.42
"Arizona Cardinals","Cleveland Browns","Pittsburgh Steelers",92.01
"Arizona Cardinals","Cleveland Browns","San Francisco 49ers",92.78
"Arizona Cardinals","Cleveland Browns","Seattle Seahawks",91.78
"Arizona Cardinals","Cleveland Browns","Tampa Bay Buccaneers",91.98
"Arizona Cardinals","Cleveland Browns","Tennessee Titans",92.58
"Arizona Cardinals","Cleveland Browns","Washington Commanders",92.25
"Arizona Cardinals","Dallas Cowboys","Denver Broncos",92.08
"Arizona Cardinals","Dallas Cowboys","Detroit Lions",92.18
"Arizona Cardinals","Dallas Cowboys","Green Bay Packers",92.00
"Arizona Cardinals","Dallas Cowboys","Houston Texans",92.40
"Arizona Cardinals","Dallas Cowboys","Indianapolis Colts",92.52
"Arizona Cardinals","Dallas Cowboys","Jacksonville Jaguars",91.94
"Arizona Cardinals","Dallas Cowboys","Kansas City Chiefs",92.25
"Arizona Cardinals","Dallas Cowboys","Las Vegas Raiders",92.46
"Arizona Cardinals","Dallas Cowboys","Los Angeles Chargers",92.10
"Arizona Cardinals","Dallas Cowboys","Los Angeles Rams",92.25
"Arizona Cardinals","Dallas Cowboys","Miami Dolphins",92.53
"Arizona Cardinals","Dallas Cowboys","Minnesota Vikings",92.10
"Arizona Cardinals","Dallas Cowboys","New England Patriots",92.47
"Arizona Cardinals","Dallas Cowboys","New Orleans Saints",92.20
"Arizona Cardinals","Dallas Cowboys","New York Giants",92.23
"Arizona Cardinals","Dallas Cowboys","New York Jets",92.37
"Arizona Cardinals","Dallas Cowboys","Philadelphia Eagles",92.43
"Arizona Cardinals","Dallas Cowboys","Pittsburgh Steelers",92.23
"Arizona Cardinals","Dallas Cowboys","San Francisco 49ers",93.03
"Arizona Cardinals","Dallas Cowboys","Seattle Seahawks",92.40
"Arizona Cardinals","Dallas Cowboys","Tampa Bay Buccaneers",92.17
"Arizona Cardinals","Dallas Cowboys","Tennessee Titans",92.50
"Arizona Cardinals","Dallas Cowboys","Washington Commanders",92.58
"Arizona Cardinals","Denver Broncos","Detroit Lions",91.51
"Arizona Cardinals","Denver Broncos","Green Bay Packers",91.56
"Arizona Cardinals","Denver Broncos","Houston Texans",91.73
"Arizona Cardinals","Denver Broncos","Indianapolis Colts",92.37
"Arizona Cardinals","Denver Broncos","Jacksonville Jaguars",91.13
"Arizona Cardinals","Denver Broncos","Kansas City Chiefs",91.48
"Arizona Cardinals","Denver Broncos","Las Vegas Raiders",92.01
"Arizona Cardinals","Denver Broncos","Los Angeles Chargers",91.65
"Arizona Cardinals","Denver Broncos","Los Angeles Rams",91.81
"Arizona Cardinals","Denver Broncos","Miami Dolphins",91.99
"Arizona Cardinals","Denver Broncos","Minnesota Vikings",91.91
"Arizona Cardinals","Denver Broncos","New England Patriots",91.97
"Arizona Cardinals","Denver Broncos","New Orleans Saints",91.70
"Arizona Cardinals","Denver Broncos","New York Giants",92.00
"Arizona Cardinals","Denver Broncos","New York Jets",91.69
"Arizona Cardinals","Denver Broncos","Philadelphia Eagles",92.02
"Arizona Cardinals","Denver Broncos","Pittsburgh Steelers",91.80
"Arizona Cardinals","Denver Broncos","San Francisco 49ers",92.70
"Arizona Cardinals","Denver Broncos","Seattle Seahawks",91.73
"Arizona Cardinals","Denver Broncos","Tampa Bay Buccaneers",91.67
"Arizona Cardinals","Denver Broncos","Tennessee Titans",92.31
"Arizona Cardinals","Denver Broncos","Washington Commanders",91.99
"Arizona Cardinals","Detroit Lions","Green Bay Packers",91.85
"Arizona Cardinals","Detroit Lions","Houston Texans",91.84
"Arizona Cardinals","Detroit Lions","Indianapolis Colts",92.48
"Arizona Cardinals","Detroit Lions","Jacksonville Jaguars",91.62
"Arizona Cardinals","Detroit Lions","Kansas City Chiefs",91.72
"Arizona Cardinals","Detroit Lions","Las Vegas Raiders",92.33
"Arizona Cardinals","Detroit Lions","Los Angeles Chargers",91.80
"Arizona Cardinals","Detroit Lions","Los Angeles Rams",92.31
"Arizona Cardinals","Detroit Lions","Miami Dolphins",92.19
"Arizona Cardinals","Detroit Lions","Minnesota Vikings",92.09
"Arizona Cardinals","Detroit Lions","New England Patriots",92.28
"Arizona Cardinals","Detroit Lions","New Orleans Saints",91.78
"Arizona Cardinals","Detroit Lions","New York Giants",91.98
"Arizona Cardinals","Detroit Lions","New York Jets",91.82
"Arizona Cardinals","Detroit Lions","Philadelphia Eagles",92.40
"Arizona Cardinals","Detroit Lions","Pittsburgh Steelers",92.27
"Arizona Cardinals","Detroit Lions","San Francisco 49ers",92.77
"Arizona Cardinals","Detroit Lions","Seattle Seahawks",91.86
"Arizona Cardinals","Detroit Lions","Tampa Bay Buccaneers",91.89
"Arizona Cardinals","Detroit Lions","Tennessee Titans",92.29
"Arizona Cardinals","Detroit Lions","Washington Commanders",92.38
"Arizona Cardinals","Green Bay Packers","Houston Texans",91.70
"Arizona Cardinals","Green Bay Packers","Indianapolis Colts",92.02
"Arizona Cardinals","Green Bay Packers","Jacksonville Jaguars",91.31
"Arizona Cardinals","Green Bay Packers","Kansas City Chiefs",91.72
"Arizona Cardinals","Green Bay Packers","Las Vegas Raiders",92.15
"Arizona Cardinals","Green Bay Packers","Los Angeles Chargers",91.50
"Arizona Cardinals","Green Bay Packers","Los Angeles Rams",91.69
"Arizona Cardinals","Green Bay Packers","Miami Dolphins",92.26
"Arizona Cardinals","Green Bay Packers","Minnesota Vikings",91.69
"Arizona Cardinals","Green Bay Packers","New England Patriots",91.90
"Arizona Cardinals","Green Bay Packers","New Orleans Saints",91.78
"Arizona Cardinals","Green Bay Packers","New York Giants",91.81
"Arizona Cardinals","Green Bay Packers","New York Jets",91.65
"Arizona Cardinals","Green Bay Packers","Philadelphia Eagles",91.86
"Arizona Cardinals","Green Bay Packers","Pittsburgh Steelers",91.79
"Arizona Cardinals","Green Bay Packers","San Francisco 49ers",92.77
"Arizona Cardinals","Green Bay Packers","Seattle Seahawks",91.85
"Arizona Cardinals","Green Bay Packers","Tampa Bay Buccaneers",91.91
"Arizona Cardinals","Green Bay Packers","Tennessee Titans",92.14
"Arizona Cardinals","Green Bay Packers","Washington Commanders",92.27
"Arizona Cardinals","Houston Texans","Indianapolis Colts",92.33
"Arizona Cardinals","Houston Texans","Jacksonville Jaguars",91.76
"Arizona Cardinals","Houston Texans","Kansas City Chiefs",91.74
"Arizona Cardinals","Houston Texans","Las Vegas Raiders",92.19
"Arizona Cardinals","Houston Texans","Los Angeles Chargers",91.92
"Arizona Cardinals","Houston Texans","Los Angeles Rams",91.85
"Arizona Cardinals","Houston Texans","Miami Dolphins",92.20
"Arizona Cardinals","Houston Texans","Minnesota Vikings",91.91
"Arizona Cardinals","Houston Texans","New England Patriots",91.94
"Arizona Cardinals","Houston Texans","New Orleans Saints",91.70
"Arizona Cardinals","Houston Texans","New York Giants",91.88
"Arizona Cardinals","Houston Texans","New York Jets",91.50
"Arizona Cardinals","Houston Texans","Philadelphia Eagles",92.04
"Arizona Cardinals","Houston Texans","Pittsburgh Steelers",92.15
"Arizona Cardinals","Houston Texans","San Francisco 49ers",92.74
"Arizona Cardinals","Houston Texans","Seattle Seahawks",91.84
"Arizona Cardinals","Houston Texans","Tampa Bay Buccaneers",92.13
"Arizona Cardinals","Houston Texans","Tennessee Titans",92.33
"Arizona Cardinals","Houston Texans","Washington Commanders",92.50
"Arizona Cardinals","Indianapolis Colts","Jacksonville Jaguars",91.70
"Arizona Cardinals","Indianapolis Colts","Kansas City Chiefs",92.37
"Arizona Cardinals","Indianapolis Colts","Las Vegas Raiders",92.62
"Arizona Cardinals","Indianapolis Colts","Los Angeles Chargers",91.98
"Arizona Cardinals","Indianapolis Colts","Los Angeles Rams",92.18
"Arizona Cardinals","Indianapolis Colts","Miami Dolphins",92.74
"Arizona Cardinals","Indianapolis Colts","Minnesota Vikings",92.13
"Arizona Cardinals","Indianapolis Colts","New England Patriots",92.55
"Arizona Cardinals","Indianapolis Colts","New Orleans Saints",92.24
"Arizona Cardinals","Indianapolis Colts","New York Giants",92.17
"Arizona Cardinals","Indianapolis Colts","New York Jets",92.08
"Arizona Cardinals","Indianapolis Colts","Philadelphia Eagles",92.56
"Arizona Cardinals","Indianapolis Colts","Pittsburgh Steelers",92.34
"Arizona Cardinals","Indianapolis Colts","San Francisco 49ers",92.96
"Arizona Cardinals","Indianapolis Colts","Seattle Seahawks",92.47
"Arizona Cardinals","Indianapolis Colts","Tampa Bay Buccaneers",92.56
"Arizona Cardinals","Indianapolis Colts","Tennessee Titans",92.74
"Arizona Cardinals","Indianapolis Colts","Washington Commanders",92.75
"Arizona Cardinals","Jacksonville Jaguars","Kansas City Chiefs",91.53
"Arizona Cardinals","Jacksonville Jaguars","Las Vegas Raiders",91.87
"Arizona Cardinals","Jacksonville Jaguars","Los Angeles Chargers",91.17
"Arizona Cardinals","Jacksonville Jaguars","Los Angeles Rams",91.19
"Arizona Cardinals","Jacksonville Jaguars","Miami Dolphins",92.00
"Arizona Cardinals","Jacksonville Jaguars","Minnesota Vikings",91.54
"Arizona Cardinals","Jacksonville Jaguars","New England Patriots",91.40
"Arizona Cardinals","Jacksonville Jaguars","New Orleans Saints",91.78
"Arizona Cardinals","Jacksonville Jaguars","New York Giants",91.71
"Arizona Cardinals","Jacksonville Jaguars","New York Jets",91.37
"Arizona Cardinals","Jacksonville Jaguars","Philadelphia Eagles",91.60
"Arizona Cardinals","Jacksonville Jaguars","Pittsburgh Steelers",91.50
"Arizona Cardinals","Jacksonville Jaguars","San Francisco 49ers",92.73
"Arizona Cardinals","Jacksonville Jaguars","Seattle Seahawks",91.69
"Arizona Cardinals","Jacksonville Jaguars","Tampa Bay Buccaneers",91.50
"Arizona Cardinals","Jacksonville Jaguars","Tennessee Titans",91.61
"Arizona Cardinals","Jacksonville Jaguars","Washington Commanders",92.14
"Arizona Cardinals","Kansas City Chiefs","Las Vegas Raiders",92.17
"Arizona Cardinals","Kansas City Chiefs","Los Angeles Chargers",91.88
"Arizona Cardinals","Kansas City Chiefs","Los Angeles Rams",92.04
"Arizona Cardinals","Kansas City Chiefs","Miami Dolphins",92.25
"Arizona Cardinals","Kansas City Chiefs","Minnesota Vikings",91.82
"Arizona Cardinals","Kansas City Chiefs","New England Patriots",92.01
"Arizona Cardinals","Kansas City Chiefs","New Orleans Saints",91.57
"Arizona Cardinals","Kansas City Chiefs","New York Giants",92.11
"Arizona Cardinals","Kansas City Chiefs","New York Jets",91.93
"Arizona Cardinals","Kansas City Chiefs","Philadelphia Eagles",92.24
"Arizona Cardinals","Kansas City Chiefs","Pittsburgh Steelers",92.00
"Arizona Cardinals","Kansas City Chiefs","San Francisco 49ers",92.72
"Arizona Cardinals","Kansas City Chiefs","Seattle Seahawks",92.00
"Arizona Cardinals","Kansas City Chiefs","Tampa Bay Buccaneers",91.86
"Arizona Cardinals","Kansas City Chiefs","Tennessee Titans",92.53
"Arizona Cardinals","Kansas City Chiefs","Washington Commanders",92.29
"Arizona Cardinals","Las Vegas Raiders","Los Angeles Chargers",92.00
"Arizona Cardinals","Las Vegas Raiders","Los Angeles Rams",92.11
"Arizona Cardinals","Las Vegas Raiders","Miami Dolphins",92.53
"Arizona Cardinals","Las Vegas Raiders","Minnesota Vikings",92.02
"Arizona Cardinals","Las Vegas Raiders","New England Patriots",92.24
"Arizona Cardinals","Las Vegas Raiders","New Orleans Saints",92.28
"Arizona Cardinals","Las Vegas Raiders","New York Giants",92.28
"Arizona Cardinals","Las Vegas Raiders","New York Jets",91.85
"Arizona Cardinals","Las Vegas Raiders","Philadelphia Eagles",92.50
"Arizona Cardinals","Las Vegas Raiders","Pittsburgh Steelers",92.07
"Arizona Cardinals","Las Vegas Raiders","San Francisco 49ers",92.84
"Arizona Cardinals","Las Vegas Raiders","Seattle Seahawks",92.10
"Arizona Cardinals","Las Vegas Raiders","Tampa Bay Buccaneers",91.85
"Arizona Cardinals","Las Vegas Raiders","Tennessee Titans",92.28
"Arizona Cardinals","Las Vegas Raiders","Washington Commanders",92.32
"Arizona Cardinals","Los Angeles Chargers","Los Angeles Rams",91.63
"Arizona Cardinals","Los Angeles Chargers","Miami Dolphins",92.28
"Arizona Cardinals","Los Angeles Chargers","Minnesota Vikings",91.62
"Arizona Cardinals","Los Angeles Chargers","New England Patriots",91.78
"Arizona Cardinals","Los Angeles Chargers","New Orleans Saints",91.96
"Arizona Cardinals","Los Angeles Chargers","New York Giants",91.69
"Arizona Cardinals","Los Angeles Chargers","New York Jets",91.52
"Arizona Cardinals","Los Angeles Chargers","Philadelphia Eagles",91.87
"Arizona Cardinals","Los Angeles Chargers","Pittsburgh Steelers",91.85
"Arizona Cardinals","Los Angeles Chargers","San Francisco 49ers",92.79
"Arizona Cardinals","Los Angeles Chargers","Seattle Seahawks",91.73
"Arizona Cardinals","Los Angeles Chargers","Tampa Bay Buccaneers",91.68
"Arizona Cardinals","Los Angeles Chargers","Tennessee Titans",91.85
"Arizona Cardinals","Los Angeles Chargers","Washington Commanders",92.26
"Arizona Cardinals","Los Angeles Rams","Miami Dolphins",92.40
"Arizona Cardinals","Los Angeles Rams","Minnesota Vikings",91.78
"Arizona Cardinals","Los Angeles Rams","New England Patriots",91.89
"Arizona Cardinals","Los Angeles Rams","New Orleans Saints",92.09
"Arizona Cardinals","Los Angeles Rams","New York Giants",91.82
"Arizona Cardinals","Los Angeles Rams","New York Jets",91.48
"Arizona Cardinals","Los Angeles Rams","Philadelphia Eagles",91.92
"Arizona Cardinals","Los Angeles Rams","Pittsburgh Steelers",91.87
"Arizona Cardinals","Los Angeles Rams","San Francisco 49ers",92.95
"Arizona Cardinals","Los Angeles Rams","Seattle Seahawks",92.04
"Arizona Cardinals","Los Angeles Rams","Tampa Bay Buccaneers",91.99
"Arizona Cardinals","Los Angeles Rams","Tennessee Titans",92.12
"Arizona Cardinals","Los Angeles Rams","Washington Commanders",92.24
"Arizona Cardinals","Miami Dolphins","Minnesota Vikings",92.46
"Arizona Cardinals","Miami Dolphins","New England Patriots",92.36
"Arizona Cardinals","Miami Dolphins","New Orleans Saints",92.32
"Arizona Cardinals","Miami Dolphins","New York Giants",92.41
"Arizona Cardinals","Miami Dolphins","New York Jets",92.40
"Arizona Cardinals","Miami Dolphins","Philadelphia Eagles",92.55
"Arizona Cardinals","Miami Dolphins","Pittsburgh Steelers",92.41
"Arizona Cardinals","Miami Dolphins","San Francisco 49ers",92.94
"Arizona Cardinals","Miami Dolphins","Seattle Seahawks",92.20
"Arizona Cardinals","Miami Dolphins","Tampa Bay Buccaneers",92.32
"Arizona Cardinals","Miami Dolphins","Tennessee Titans",92.85
"Arizona Cardinals","Miami Dolphins","Washington Commanders",92.64
"Arizona Cardinals","Minnesota Vikings","New England Patriots",91.86
"Arizona Cardinals","Minnesota Vikings","New Orleans Saints",91.94
"Arizona Cardinals","Minnesota Vikings","New York Giants",91.76
"Arizona Cardinals","Minnesota Vikings","New York Jets",91.71
"Arizona Cardinals","Minnesota Vikings","Philadelphia Eagles",91.96
"Arizona Cardinals","Minnesota Vikings","Pittsburgh Steelers",91.97
"Arizona Cardinals","Minnesota Vikings","San Francisco 49ers",92.73
"Arizona Cardinals","Minnesota Vikings","Seattle Seahawks",92.00
"Arizona Cardinals","Minnesota Vikings","Tampa Bay Buccaneers",91.91
"Arizona Cardinals","Minnesota Vikings","Tennessee Titans",91.97
"Arizona Cardinals","Minnesota Vikings","Washington Commanders",92.40
